,Pfam_Label,If_Cas_Related_Protein
2899,Molybdopterin cofactor-binding domain,
2900,Molybdopterin guanine dinucleotide synthesis protein B,
2901,Molybdopterin oxidoreductase,
2902,Molybdopterin oxidoreductase Fe4S4 domain,
2903,Molybdopterin oxidoreductase N-terminal domain,
2904,Molydopterin dinucleotide binding domain,
2905,"Mon2/Sec7/BIG1-like, HUS domain",
2906,Mono-functional DNA-alkylating methyl methanesulfonate N-term,
2907,Monogalactosyldiacylglycerol (MGDG) synthase,
2908,Monopolin complex subunit LRS4,
2909,Mor transcription activator family,
2910,MotA/TolQ/ExbB proton channel family,
2911,MoxR domain in the MoxR-vWA-beta-propeller ternary systems,
2912,MoxR-vWA-beta-propeller ternary system domain bpX0,
2913,MoxR-vWA-beta-propeller ternary system domain bpX1,
2914,MoxR-vWA-beta-propeller ternary system domain bpX2,
2915,MoxR-vWA-beta-propeller ternary system domain bpX3,
2916,MoxR-vWA-beta-propeller ternary system domain bpX4,
2917,MraW methylase family,
2918,"MraZ protein, putative antitoxin-like",
2919,MreB/Mbl protein,
2920,MrfA Zn-binding domain,
2921,Mrr N-terminal domain,
2922,MshEN domain,
2923,"Mu DNA binding, I gamma subdomain",
2924,Mu DNA-binding domain,
2925,"Mu transposase, C-terminal",
2926,Mu-like prophage I protein,
2927,Mu-like prophage protein Com,
2928,MuDR family transposase,
2929,Muc B2-like domain,
2930,MucBP domain,
2931,Mucin binding domain,
2932,Mucin-2 protein WxxW repeating region,
2933,MukB N-terminal,
2934,MukB hinge domain,
2935,MukE-like family,
2936,Multi-copper polyphenol oxidoreductase laccase,
2937,Multicopper oxidase,
2938,Multiple resistance and pH regulation protein F (MrpF / PhaF),
2939,"Mur ligase MurD-like, N-terminal domain",
2940,"Mur ligase family, catalytic domain",
2941,"Mur ligase family, glutamate ligase domain",
2942,Mur ligase middle domain,
2943,MurD N-terminal domain,
2944,MurT ligase C-terminal,
2945,Murine leukemia virus (MLV) integrase (IN) C-terminal domain,
2946,Mut7-C RNAse domain,
2947,MutL C terminal dimerisation domain,
2948,MutS domain I,
2949,MutS domain V,
2950,MutS2 and Smr-associated SH3 domain,
2951,Mutator-like transposase,
2952,Myb-like DNA-binding domain,
2953,Myb/SANT-like DNA-binding domain,
2954,"Mycobacterial 4 TMS phage holin, superfamily IV",
2955,"Mycoplasma adhesin P1, N-terminal",
2956,Mycoplasma hyorhinis VlpA repeat,
2957,"Mycoplasma protein of unknown function, DUF285",
2958,Mycothiol maleylpyruvate isomerase N-terminal domain,
2959,Myogenic Basic domain,
2960,Myosin head (motor domain),
2961,"Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain",
2962,N terminal of Calcineurin-like phosphoesterase,
2963,"N,N dimethylarginine dimethylhydrolase, eukaryotic",
2964,N-(5'phosphoribosyl)anthranilate (PRA) isomerase,
2965,N-6 DNA Methylase,
2966,N-Lobe handle Tf-binding protein B,
2967,N-acetylmuramidase,
2968,N-acetylmuramoyl-L-alanine amidase,
2969,N-acylglucosamine 2-epimerase (GlcNAc 2-epimerase),
2970,N-formylglutamate amidohydrolase,
2971,"N-sulphoglucosamine sulphohydrolase, C-terminal",
2972,N-terminal 7TM region of histidine kinase,
2973,N-terminal TM domain of oligopeptide transport permease C,
2974,N-terminal domain of 16S rRNA methyltransferase RsmF,
2975,N-terminal domain of M60-like peptidases,
2976,N-terminal domain of anti-restriction factor ArdC,
2977,N-terminal domain of galactosyltransferase,
2978,N-terminal domain of oxidoreductase,
2979,N-terminal domain of reverse transcriptase,
2980,N-terminal domain of ribose phosphate pyrophosphokinase,
2981,N-terminal half of MaoC dehydratase,
2982,N-terminal phage replisome organiser (Phage_rep_org_N),
2983,N-terminal region of glycosyl transferase group 7,
2984,N-terminus of Esterase_SGNH_hydro-type,
2985,NAC domain,
2986,NACHT domain,
2987,NAD binding domain of 6-phosphogluconate dehydrogenase,
2988,NAD dependent epimerase/dehydratase family,
2989,NAD synthase,
2990,NAD(P)-binding Rossmann-like domain,
2991,NAD(P)H-binding,
2992,NAD-dependent DNA ligase C4 zinc finger domain,
2993,NAD-dependent DNA ligase OB-fold domain,
2994,NAD-dependent DNA ligase adenylation domain,
2995,NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus,
2996,NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus,
2997,NAD-specific glutamate dehydrogenase,
2998,NAD:arginine ADP-ribosyltransferase,
2999,NADAR domain,
3000,NADH dehydrogenase,
3001,NADH dehydrogenase subunit 5 C-terminus,
3002,NADH pyrophosphatase zinc ribbon domain,
3003,NADH pyrophosphatase-like rudimentary NUDIX domain,
3004,"NADH ubiquinone oxidoreductase, 20 Kd subunit",
3005,"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus",
3006,NADH-quinone oxidoreductase cyanobacterial subunit N,
3007,NADH-ubiquinone oxidoreductase-G iron-sulfur binding region,
3008,NADH-ubiquinone reductase complex 1 MLRQ subunit,
3009,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L,
3010,NADH-ubiquinone/plastoquinone oxidoreductase chain 6,
3011,"NADH-ubiquinone/plastoquinone oxidoreductase, chain 3",
3012,NADH:flavin oxidoreductase / NADH oxidase family,
3013,NADP oxidoreductase coenzyme F420-dependent,
3014,NADPH-dependent FMN reductase,
3015,NAF domain,
3016,"NAT, N-acetyltransferase, of N-acetylglutamate synthase",
3017,NB-ARC domain,
3018,NF-X1 type zinc finger,
3019,NFACT N-terminal and middle domains,
3020,NFACT protein RNA binding domain,
3021,NHL repeat,
3022,NIL domain,
3023,NLI interacting factor-like phosphatase,
3024,NMT1-like family,
3025,NMT1/THI5 like,
3026,NOP protein chaperone 1,
3027,"NPCBM-associated, NEW3 domain of alpha-galactosidase",
3028,NPCBM/NEW2 domain,
3029,NPH3 family,
3030,NTF2 fold immunity protein,
3031,NTF2-like N-terminal transpeptidase domain,
3032,NTPase,
3033,NUBPL iron-transfer P-loop NTPase,
3034,NUDIX domain,
3035,NUMOD1 domain,
3036,NUMOD3 motif,
3037,NUMOD4 motif,
3038,NVEALA protein,
3039,NYN domain,
3040,Na+-transporting oxaloacetate decarboxylase beta subunit,
3041,Na+/H+ antiporter 1,
3042,Na+/H+ antiporter family,
3043,Na+/H+ antiporter subunit,
3044,Na+/H+ ion antiporter subunit,
3045,Na+/Pi-cotransporter,
3046,Nanos RNA binding domain,
3047,"NapC/NirT cytochrome c family, N-terminal region",
3048,NapD protein,
3049,NarE,
3050,Natural resistance-associated macrophage protein-like,
3051,Negative regulator of genetic competence (MecA),
3052,Neisseria PilC beta-propeller domain,
3053,Neisseria meningitidis TspB protein,
3054,NeuB family,
3055,Neuraminyllactose-binding hemagglutinin precursor (NLBH),
3056,"Neurobeachin/BDCP, DUF4704 alpha solenoid region",
3057,"Neuroblastoma-amplified sequence, N terminal",
3058,"NfeD-like C-terminal, partner-binding",
3059,Nickel insertion protein,
3060,Nickel-dependent hydrogenase,
3061,Nickel/cobalt transporter regulator,
3062,Nicotianamine synthase protein,
3063,Nicotinamide mononucleotide transporter,
3064,Nidogen-like,
3065,NifU-like domain,
3066,NikR C terminal nickel binding domain,
3067,NinB protein,
3068,Nitrate and nitrite sensing,
3069,Nitrate reductase cytochrome c-type subunit (NapB),
3070,Nitrate reductase delta subunit,
3071,Nitrate reductase gamma subunit,
3072,Nitrite and sulphite reductase 4Fe-4S domain,
3073,Nitrogen fixation protein NifW,
3074,Nitrogen regulatory protein P-II,
3075,Nitrogenase component 1 type Oxidoreductase,
3076,Nitronate monooxygenase,
3077,Nitroreductase family,
3078,NlpA lipoprotein,
3079,NlpB/DapX lipoprotein,
3080,NlpC/P60 family,
3081,NmrA-like family,
3082,NnrS protein,
3083,No apical meristem (NAM) protein,
3084,No apical meristem-associated C-terminal domain,
3085,Nodulin-like,
3086,"Not1 N-terminal domain, CCR4-Not complex component",
3087,Novel STAND NTPase 1,
3088,Novel STAND NTPase 3,
3089,Novel toxin 15,
3090,Nrap protein domain 3,
3091,Nuclear protein 96,
3092,Nuclear protein Es2,
3093,Nuclease A inhibitor-like protein,
3094,Nuclease domain,
3095,Nuclease-related domain,
3096,"Nucleolar RNA-binding protein, Nop10p family",
3097,Nucleoporin autopeptidase,
3098,Nucleoside 2-deoxyribosyltransferase,
3099,Nucleoside 2-deoxyribosyltransferase like,
3100,Nucleoside H+ symporter,
3101,Nucleoside diphosphate kinase,
3102,Nucleoside recognition,
3103,Nucleosome assembly protein (NAP),
3104,Nucleotide modification associated domain 1,
3105,Nucleotide modification associated domain 5,
3106,Nucleotide-binding C-terminal domain,
3107,Nucleotide-diphospho-sugar transferase,
3108,Nucleotidyl transferase,
3109,"Nucleotidyl transferase AbiEii toxin, Type IV TA system",
3110,Nucleotidyltransferase,
3111,Nucleotidyltransferase domain,
3112,Nucleotidyltransferase of unknown function (DUF6036),
3113,Nucleotidyltransferase substrate binding protein like,
3114,Nucleotidyltransferase-Associated Rossmannoid Fold,
3115,Nudix N-terminal,
3116,Nup93/Nic96,
3117,NurA domain,
3118,NusA N-terminal domain,
3119,NusB family,
3120,NusG domain II,
3121,O-Antigen ligase,
3122,O-Glycosyl hydrolase family 30,
3123,O-methyltransferase,
3124,O-methyltransferase domain,
3125,OB-fold nucleic acid binding domain,
3126,ODP family beta lactamase,
3127,OPT oligopeptide transporter protein,
3128,ORF6C domain,
3129,ORF6N domain,
3130,OST-HTH/LOTUS domain,
3131,OTU-like cysteine protease,
3132,Ogr/Delta-like zinc finger,
3133,Oligogalacturonate-specific porin protein (KdgM),
3134,"Oligopeptide/dipeptide transporter, C-terminal region",
3135,Oligosaccharide biosynthesis protein Alg14 like,
3136,Omp85 superfamily domain,
3137,OmpA family,
3138,OmpA-like transmembrane domain,
3139,Opacity family porin protein,
3140,Opacity-associated protein A LysM-like domain,
3141,Origin of replication binding protein,
3142,"Orn/Lys/Arg decarboxylase, C-terminal domain",
3143,"Orn/Lys/Arg decarboxylase, major domain",
3144,Ornithine cyclodeaminase/mu-crystallin family,
3145,Orotidine 5'-phosphate decarboxylase / HUMPS family,
3146,Orsellinic acid/F9775 biosynthesis cluster protein D,
3147,OsmC-like protein,
3148,OstA-like protein,
3149,Outer membrane efflux protein,
3150,Outer membrane lipoprotein,
3151,Outer membrane lipoprotein LolB,
3152,Outer membrane lipoprotein carrier protein LolA,
3153,Outer membrane lipoprotein carrier protein LolA-like,
3154,Outer membrane lipoprotein virB7,
3155,Outer membrane lipoprotein-sorting protein,
3156,Outer membrane protein (OmpH-like),
3157,Outer membrane protein LpxR,
3158,Outer membrane protein Omp28,
3159,Outer membrane protein SusF_SusE,
3160,Outer membrane protein beta-barrel domain,
3161,Outer membrane protein beta-barrel family,
3162,Outer membrane protein transport protein (OMPP1/FadL/TodX),
3163,Outer membrane usher protein,
3164,"Overcoming lysogenization defect protein-like, TOPRIM domain",
3165,"Oxaloacetate decarboxylase, gamma chain",
3166,Oxidoreductase NAD-binding domain,
3167,"Oxidoreductase family, C-terminal alpha/beta domain",
3168,"Oxidoreductase family, NAD-binding Rossmann fold",
3169,Oxidoreductase molybdopterin binding domain,
3170,Oxygen evolving enhancer protein 3 (PsbQ),
3171,Oxysterol-binding protein,
3172,P-loop ATPase protein family,
3173,P-loop containing NTP hydrolase pore-1,
3174,P-loop containing dynein motor region,
3175,P2 phage tail completion protein R (GpR),
3176,P21-Rho-binding domain,
3177,P22 coat protein - gene protein 5,
3178,P22AR C-terminal domain,
3179,P22_AR N-terminal domain,
3180,P2X purinoreceptor 7 intracellular domain,
3181,PA domain,
3182,PA14 domain,
3183,PAAR motif,
3184,PAC2 family,
3185,PADRE domain,
3186,PAN domain,
3187,PAP2 superfamily,
3188,PAP_fibrillin,
3189,PAS domain,
3190,PAS fold,
3191,PASTA domain,
3192,PAZ domain,
3193,PB1 domain,
3194,PBP superfamily domain,
3195,PBS lyase HEAT-like repeat,
3196,PCRF domain,
3197,PD-(D/E)XK endonuclease,
3198,PD-(D/E)XK nuclease family transposase,
3199,PD-(D/E)XK nuclease superfamily,
3200,PDDEXK-like domain of unknown function (DUF3799),
3201,PDDEXK-like family of unknown function,
3202,PDGLE domain,
3203,PDZ domain,
3204,PE family,
3205,PEGA domain,
3206,PEP-CTERM motif,
3207,"PEP-utilising enzyme, mobile domain",
3208,PGAP1-like protein,
3209,PGRS repeats,
3210,PHA02142 OB-fold domain,
3211,PHB accumulation regulatory domain,
3212,PHB/PHA accumulation regulator DNA-binding domain,
3213,PHD finger protein 12 MRG binding domain,
3214,PHD-zinc-finger like domain,
3215,PHP domain,
3216,PHP-associated,
3217,PIF1-like helicase,
3218,PIN domain,
3219,PIN like domain,
3220,PKD domain,
3221,PKD-like domain,
3222,PLAT/LH2 and C2-like Ca2+-binding lipoprotein,
3223,PLAT/LH2 domain,
3224,PLD-like domain,
3225,PNMA,
3226,"POTRA domain, FtsQ-type",
3227,"POTRA domain, ShlB-type",
3228,PP-loop family,
3229,PPE family,
3230,PPIC-type PPIASE domain,
3231,PPR repeat,
3232,PPR repeat family,
3233,PQ loop repeat,
3234,PQQ enzyme repeat,
3235,PQQ-like domain,
3236,PRC-barrel domain,
3237,PRD domain,
3238,PRMT5 arginine-N-methyltransferase,
3239,PROCN (NUC071) domain,
3240,PRONE (Plant-specific Rop nucleotide exchanger),
3241,"PRP1 splicing factor, N-terminal",
3242,PRP38 family,
3243,PSA endolysin C-terminal cell wall binding domain,
3244,PSP1 C-terminal conserved region,
3245,PT repeat,
3246,"PTM/DIR17-like, Tudor domain",
3247,PTS HPr component phosphorylation site,
3248,PTS system fructose IIA component,
3249,PTS system glucitol/sorbitol-specific IIA component,
3250,PTS system sorbose subfamily IIB component,
3251,PTS system sorbose-specific iic component,
3252,"PTS system, Lactose/Cellobiose specific IIA subunit",
3253,"PTS system, Lactose/Cellobiose specific IIB subunit",
3254,PUA domain,
3255,PUA-like domain,
3256,PWI domain,
3257,PaRep2b protein,
3258,PaaX protein central Cas2-like domain,
3259,Palmitoyl protein thioesterase,
3260,Pantoate-beta-alanine ligase,
3261,Pao retrotransposon peptidase,
3262,PapC C-terminal domain,
3263,PapC N-terminal domain,
3264,Papain family cysteine protease,
3265,"Papain fold toxin 1, glutamine deamidase",
3266,Papain fold toxin 2,
3267,Papain-like cysteine protease AvrRpt2,
3268,ParA helix turn helix domain,
3269,ParB family,
3270,ParB/Sulfiredoxin domain,
3271,ParD-like antitoxin of type II bacterial toxin-antitoxin system,
3272,"ParE toxin of type II toxin-antitoxin system, parDE",
3273,ParE-like toxin of type II bacterial toxin-antitoxin system,
3274,ParG,
3275,Pas factor saposin fold,
3276,Passenger-associated-transport-repeat,
3277,Patatin-like phospholipase,
3278,Patched family,
3279,Pathogenesis-related protein Bet v 1 family,
3280,Pathogenicity locus,
3281,PcfJ-like protein,
3282,PcfK-like protein,
3283,PcrA/UvrD tudor domain,
3284,PcrB family,
3285,Pecanex protein (C-terminus),
3286,Pectate lyase,
3287,Pectate lyase superfamily protein,
3288,Pectic acid lyase,
3289,Pectinesterase,
3290,"PemK-like, MazF-like toxin of type II toxin-antitoxin system",
3291,Penicillin amidase,
3292,Penicillin binding protein transpeptidase domain,
3293,Penicillin-binding Protein dimerisation domain,
3294,"Penicillin-binding protein 5, C-terminal domain",
3295,Penicillinase repressor,
3296,Pentapeptide repeats (8 copies),
3297,Pentapeptide repeats (9 copies),
3298,Pentatricopeptide repeat domain,
3299,PepSY-associated TM region,
3300,Peptidase C10 family,
3301,Peptidase C13 family,
3302,Peptidase C26,
3303,Peptidase C39 family,
3304,Peptidase C80 family,
3305,Peptidase M10 serralysin C terminal,
3306,Peptidase M15,
3307,Peptidase M16 inactive domain,
3308,Peptidase M16C associated,
3309,Peptidase M50B-like,
3310,Peptidase M60 C-terminal domain,
3311,"Peptidase M60, enhancin and enhancin-like",
3312,Peptidase S24-like,
3313,Peptidase S46,
3314,Peptidase dimerisation domain,
3315,Peptidase family C25,
3316,Peptidase family C69,
3317,Peptidase family C78,
3318,Peptidase family M1 domain,
3319,Peptidase family M13,
3320,Peptidase family M20/M25/M40,
3321,Peptidase family M23,
3322,Peptidase family M28,
3323,Peptidase family M41,
3324,Peptidase family M48,
3325,Peptidase family M49,
3326,Peptidase family M50,
3327,Peptidase family M54,
3328,Peptidase family S41,
3329,Peptidase family S49,
3330,Peptidase family U32,
3331,Peptidase family U32 C-terminal domain,
3332,Peptidase inhibitor I9,
3333,Peptidase inhibitor family I36,
3334,Peptidase propeptide and YPEB domain,
3335,Peptidase_C39 like family,
3336,"Peptidase_G2, IMC autoproteolytic cleavage domain",
3337,Peptide methionine sulfoxide reductase,
3338,"Peptide-N-glycosidase F, C terminal",
3339,Peptidoglycan-synthase activator LpoB,
3340,Peptidyl-tRNA hydrolase,
3341,Peptidyl-tRNA hydrolase PTH2,
3342,PerC transcriptional activator,
3343,Periplasmic binding protein,
3344,Periplasmic binding protein domain,
3345,Periplasmic binding protein-like domain,
3346,Periplasmic binding proteins and sugar binding domain of LacI family,
3347,Periplasmic copper-binding protein (NosD),
3348,Periplasmic sensor domain,
3349,Permease MlaE,
3350,Permease family,
3351,"Permease for cytosine/purines, uracil, thiamine, allantoin",
3352,"Permuted papain-like amidase enzyme, YaeF/YiiX, C92 family",
3353,Peroxidase,
3354,Peroxide stress protein YaaA,
3355,Peroxisomal biogenesis factor 11 (PEX11),
3356,Pertactin,
3357,PgaA membrane beta barrel domain,
3358,PglZ domain,
3359,Phage Connector (GP10),
3360,Phage DNA packaging protein Nu1,
3361,Phage Mu protein F like protein,
3362,Phage MuF-C-terminal domain,
3363,Phage NinH protein,
3364,Phage ORF5 protein,
3365,Phage P2 GpE,
3366,Phage P2 GpU,
3367,Phage T7 capsid assembly protein,
3368,Phage T7 tail fibre protein,
3369,Phage Tail Collar Domain,
3370,Phage Tail Protein X,
3371,"Phage XkdN-like tail assembly chaperone protein, TAC",
3372,Phage antirepressor protein KilAC domain,
3373,Phage antitermination protein Q,
3374,Phage capsid family,
3375,Phage capsid protein,
3376,Phage derived protein Gp49-like (DUF891),
3377,Phage endonuclease I,
3378,Phage gp6-like head-tail connector protein,
3379,Phage head completion protein (GPL),
3380,Phage head-tail joining protein,
3381,Phage holin family (Lysis protein S),
3382,"Phage holin family Hol44, in holin superfamily V",
3383,Phage integrase SAM-like domain,
3384,Phage integrase family,
3385,Phage integrase protein,
3386,"Phage integrase, N-terminal",
3387,"Phage integrase, N-terminal SAM-like domain",
3388,Phage lysozyme,
3389,Phage major capsid protein E,
3390,"Phage major capsid protein, P2 family",
3391,Phage minor capsid protein 2,
3392,Phage minor structural protein GP20,
3393,Phage minor tail protein,
3394,Phage minor tail protein L,
3395,Phage minor tail protein U,
3396,Phage portal protein,
3397,"Phage portal protein, SPP1 Gp6-like",
3398,"Phage portal protein, lambda family",
3399,Phage regulatory protein CII (CP76),
3400,Phage regulatory protein Rha (Phage_pRha),
3401,Phage replication protein CRI,
3402,Phage tail assembly chaperone protein,
3403,"Phage tail assembly chaperone protein, TAC",
3404,"Phage tail assembly chaperone proteins, E, or 41 or 14",
3405,Phage tail baseplate hub (GPD),
3406,Phage tail fibre repeat,
3407,Phage tail lysozyme,
3408,Phage tail protein (Tail_P2_I),
3409,Phage tail sheath C-terminal domain,
3410,Phage tail sheath protein subtilisin-like domain,
3411,Phage tail tube protein,
3412,Phage tail tube protein FII,
3413,Phage tail-collar fibre protein,
3414,Phage terminase large subunit,
3415,Phage terminase small subunit,
3416,"Phage terminase, small subunit",
3417,Phage virion morphogenesis family,
3418,Phage-like element PBSX protein XtrA,
3419,Phage-related minor tail protein,
3420,Phasin protein,
3421,Phe-tRNA synthetase beta subunit B1 domain,
3422,Phenazine biosynthesis protein A/B,
3423,Phenazine biosynthesis-like protein,
3424,Phenol-soluble modulin beta protein,
3425,Phenylacetic acid degradation B,
3426,Phenylalanyl tRNA synthetase beta chain CLM domain,
3427,Pheophorbide a oxygenase,
3428,Phloem protein 2,
3429,PhnA domain,
3430,PhoD-like phosphatase,
3431,PhoPQ-activated pathogenicity-related protein,
3432,Phosphate acetyl/butaryl transferase,
3433,Phosphate regulon sensor protein PhoR,
3434,Phosphate transporter family,
3435,Phosphate-selective porin O and P,
3436,Phosphate-starvation-inducible E family,
3437,"Phosphatidate phosphatase APP1, catalytic domain",
3438,"Phosphatidylglycerol lysyltransferase, C-terminal",
3439,Phosphatidylglycerophosphatase A,
3440,Phosphatidylinositol 3- and 4-kinase,
3441,"Phosphatidylinositol-specific phospholipase C, X domain",
3442,Phosphatidylserine decarboxylase,
3443,Phospho-N-acetylmuramoyl-pentapeptide-transferase signature 1,
3444,"Phosphoacetylglucosamine mutase AMG1, domain III",
3445,Phosphoadenosine phosphosulfate reductase family,
3446,Phosphodiester glycosidase,
3447,Phosphoenolpyruvate carboxylase,
3448,"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",
3449,Phosphoesterase family,
3450,Phosphoethanolamine transferase EptA/EptB,
3451,Phosphofructokinase,
3452,"Phosphoglucomutase/phosphomannomutase, C-terminal domain",
3453,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I",
3454,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II",
3455,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III",
3456,Phosphoglycerate kinase,
3457,Phosphohydrolase-associated domain,
3458,"Phosphoinositide-specific phospholipase C, efhand-like",
3459,Phospholipase D Active site motif,
3460,Phospholipase/Carboxylesterase,
3461,Phospholipase_D-nuclease N-terminal,
3462,Phospholipid methyltransferase,
3463,Phospholipid-translocating ATPase N-terminal,
3464,Phospholipid-translocating P-type ATPase C-terminal,
3465,"Phosphomannose isomerase type I, catalytic domain",
3466,Phosphomethylpyrimidine kinase,
3467,Phosphopantetheine attachment site,
3468,Phosphoribosyl transferase domain,
3469,Phosphoribosyl-ATP pyrophosphohydrolase,
3470,Phosphoribosylaminoimidazole carboxylase C-terminal domain,
3471,Phosphoribosylformylglycinamidine (FGAM) synthase,
3472,"Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain",
3473,"Phosphoribosylglycinamide synthetase, N domain",
3474,Phosphoribosyltransferase,
3475,Phosphoribulokinase / Uridine kinase family,
3476,Phosphorylase superfamily,
3477,Phosphorylated CTD interacting factor 1 WW domain,
3478,"Phosphoserine phosphatase RsbU, N-terminal domain",
3479,Phosphotransferase enzyme family,
3480,"Phosphotransferase system, EIIC",
3481,Phosphotyrosine interaction domain (PTB/PID),
3482,Photosynthesis system II assembly factor YCF48,
3483,Photosynthetic reaction centre protein,
3484,Photosystem II complex subunit Ycf12,
3485,Phytanoyl-CoA dioxygenase (PhyH),
3486,PilM,
3487,PilS N terminal,
3488,PilX N-terminal,
3489,PilZ domain,
3490,Pili PilJ C-terminal domain,
3491,"Pili and flagellar-assembly chaperone, PapD N-terminal domain",
3492,Pilin (bacterial filament),
3493,Pilin accessory protein (PilO),
3494,"Pilus assembly protein, PilO",
3495,Pimeloyl-ACP methyl esterase BioG,
3496,Pirin,
3497,Pirin C-terminal cupin domain,
3498,Piwi domain,
3499,Plant ATP synthase F0,
3500,Plant invertase/pectin methylesterase inhibitor,
3501,Plant mobile domain,
3502,Plant phosphoribosyltransferase C-terminal,
3503,Plant protein 1589 of unknown function (A_thal_3526),
3504,Plant protein of unknown function,
3505,Plant self-incompatibility protein S1,
3506,Plant transposase (Ptta/En/Spm family),
3507,Plant transposon protein,
3508,Plants and Prokaryotes Conserved (PCC) domain,
3509,Plasma-membrane choline transporter,
3510,Plasmid encoded RepA protein,
3511,Plasmid pRiA4b ORF-3-like protein,
3512,Plasmid recombination enzyme,
3513,Plasmid replication protein,
3514,Plasmid replication region DNA-binding N-term,
3515,"Plasmid segregation protein ParM, C-terminal",
3516,"Plasmid segregation protein ParM, N-terminal",
3517,Plasmid stability protein,
3518,Plastocyanin-like domain,
3519,Plavaka transposase,
3520,PlyG Cell wall binding domain,
3521,PmbA/TldA metallopeptidase C-terminal domain,
3522,PmbA/TldA metallopeptidase central domain,
3523,Podovirus DNA encapsidation protein (Gp16),
3524,Poly A polymerase head domain,
3525,Poly(ADP-ribose) polymerase catalytic domain,
3526,Poly(hydroxyalcanoate) granule associated protein (phasin),
3527,"Poly-adenylate binding protein, unique domain",
3528,Polyketide cyclase / dehydrase and lipid transport,
3529,Polymer-forming cytoskeletal,
3530,Polymerase A arginine-rich C-terminus,
3531,"Polymerase beta, Nucleotidyltransferase",
3532,Polynucleotide kinase 3 phosphatase,
3533,Polypeptide deformylase,
3534,Polyphenol oxidase middle domain,
3535,Polyphosphate kinase 2 (PPK2),
3536,Polyphosphate kinase C-terminal domain 2,
3537,Polyprenyl synthetase,
3538,Polysaccharide biosynthesis C-terminal domain,
3539,Polysaccharide biosynthesis protein,
3540,Polysaccharide biosynthesis/export protein,
3541,Polysaccharide deacetylase,
3542,"Polysaccharide lyase family 4, domain II",
3543,"Polysaccharide lyase family 4, domain III",
3544,"Polysaccharide lyase family 8, C-terminal beta-sandwich domain",
3545,"Polysaccharide lyase family 8, N terminal alpha-helical domain",
3546,"Polysaccharide lyase family 8, super-sandwich domain",
3547,Polysaccharide pyruvyl transferase,
3548,"Polysulphide reductase, NrfD",
3549,Porin subfamily,
3550,"Positive regulator of sigma(E), RseC/MucC",
3551,"Possible Fer4-like domain in RNase L inhibitor, RLI",
3552,Possible hemagglutinin (DUF637),
3553,Possible lysine decarboxylase,
3554,Post-segregation antitoxin CcdA,
3555,Potassium-transporting ATPase A subunit,
3556,Poxvirus A32 protein,
3557,Poxvirus D5 protein-like,
3558,Ppx/GppA phosphatase family,
3559,"Ppx/GppA phosphatase, domain III",
3560,PqqA family,
3561,PrcB C-terminal,
3562,Pre-PUA-like domain,
3563,Pre-SET motif,
3564,Pre-mRNA-splicing factor of RES complex,
3565,Pre-toxin TG,
3566,Prealbumin-like fold domain,
3567,Precorrin-8X methylmutase,
3568,Predicted 3'-5' exonuclease related to the exonuclease domain of PolB,
3569,Predicted AAA-ATPase,
3570,Predicted Peptidoglycan domain,
3571,Predicted Permease Membrane Region,
3572,Predicted SPOUT methyltransferase,
3573,Predicted Zn-dependent protease (DUF2268),
3574,Predicted integral membrane protein (DUF2269),
3575,Predicted integral membrane protein (DUF2282),
3576,Predicted membrane protein (DUF2061),
3577,Predicted membrane protein (DUF2069),
3578,Predicted membrane protein (DUF2142),
3579,Predicted membrane protein (DUF2157),
3580,Predicted membrane protein (DUF2177),
3581,Predicted membrane protein (DUF2178),
3582,Predicted membrane protein (DUF2207) C-terminal domain,
3583,Predicted membrane protein (DUF2207) N-terminal domain,
3584,Predicted membrane protein (DUF2231),
3585,Predicted membrane protein (DUF2232),
3586,Predicted membrane protein (DUF2254),
3587,Predicted membrane protein (DUF2335),
3588,Predicted membrane protein (DUF2339),
3589,Predicted metal-binding integral membrane protein (DUF2182),
3590,Predicted metal-binding protein (DUF2284),
3591,Predicted periplasmic lipoprotein (DUF2291),
3592,Predicted periplasmic protein (DUF2092),
3593,Predicted periplasmic protein (DUF2271),
3594,Predicted permease,
3595,Prefoldin subunit,
3596,Prenyltransferase and squalene oxidase repeat,
3597,"Prephenate dehydrogenase, dimerization domain",
3598,"Prephenate dehydrogenase, nucleotide-binding domain",
3599,Preprotein translocase SecG subunit,
3600,Preprotein translocase subunit,
3601,Preprotein translocase subunit SecB,
3602,Pretoxin HINT domain,
3603,PrgI family protein,
3604,PriA DNA helicase Cys-rich region (CRR) domain,
3605,Primase C terminal 1 (PriCT-1),
3606,Primase C terminal 2 (PriCT-2),
3607,Primase X,
3608,Primosomal protein N C-terminal domain,
3609,PrmC N-terminal domain,
3610,"Pro-kumamolisin, activation domain",
3611,ProQ/FINO family,
